id,State_Group,State,Year,diabetic,Metformin,pancreas,diabetes,Insulin,cataract,glucose,Diabetes mellitus,Retinopathy,hypoglycemia,diabetes type 2,a1c,neuropathy,diabetes symptoms,Income,Insurance,Poverty,GT
128,D,MT,‘2014’,83,72,69,87,88,75,93,37,56,94,100,62,85,50,46363,14.2,15.4,8.8
129,D,NE,‘2014’,70,68,65,83,79,64,74,84,49,64,67,50,66,67,52707,9.7,12.4,9.2
130,D,NV,‘2014’,59,53,55,79,60,61,68,58,42,64,68,60,61,68,51500,15.2,15.2,9.6
131,D,NH,‘2014’,64,58,64,85,71,85,72,21,41,64,80,75,58,62,66557,9.2,9.2,9.2
132,D,NJ,‘2014’,58,74,62,81,67,70,71,62,34,57,60,73,60,54,71994,10.9,11.1,9.7
133,D,NM,‘2014’,70,79,73,96,79,62,88,100,50,65,76,79,61,68,44837,14.5,21.3,11.5
134,E,NY,‘2014’,52,61,60,74,62,61,63,53,45,51,53,51,52,53,58928,8.7,15.9,10
135,E,NC,‘2014’,69,76,57,86,74,69,77,61,37,62,70,85,68,66,46585,13.1,17.2,10.8
136,E,ND,‘2014’,66,74,65,94,71,59,87,26,100,92,86,74,60,84,59039,7.9,11.5,8.6
137,E,OH,‘2014’,79,71,66,89,86,67,87,73,54,68,77,74,70,64,49340,8.4,15.8,11.7
138,E,OK,‘2014’,78,95,68,82,77,63,77,60,36,83,64,59,69,74,47575,15.4,16.6,12
139,E,OR,‘2014’,40,41,41,57,43,42,50,37,31,42,46,41,40,35,51124,9.7,16.6,9
140,E,PA,‘2014’,69,74,61,87,81,71,84,69,62,70,65,65,66,60,53290,8.5,13.6,11.2
141,E,RI,‘2014’,57,49,53,82,70,69,77,53,56,54,61,61,56,72,54978,7.4,14.3,9.5
142,F,SC,‘2014’,80,86,61,82,73,77,74,60,50,72,61,72,72,71,45277,13.6,18,12
143,F,SD,‘2014’,68,71,59,100,92,88,93,70,67,93,88,99,68,80,51012,9.8,14.2,9.1
144,F,TN,‘2014’,86,100,70,90,91,77,88,84,69,76,64,94,84,62,44403,12,18.3,13
